workingLocations,job_major,January,February,March,April_Prediction,April_Model_Prediction
Vĩnh Phúc,Hậu cần/Giao nhận,0.0,0.0,1.0,2,2
Vĩnh Phúc,Khác,0.0,2.0,5.0,5,6
Vĩnh Phúc,Kế toán/Kiểm toán,0.0,1.0,0.0,1,1
Vĩnh Phúc,Luật/Dịch vụ pháp lý,0.0,1.0,0.0,1,1
Vĩnh Phúc,Nghệ thuật/Giải trí,0.0,1.0,0.0,1,1
Vĩnh Phúc,Ngân hàng,0.0,1.0,0.0,1,1
Vĩnh Phúc,Nhập khẩu/Xuất khẩu,0.0,1.0,0.0,1,1
Vĩnh Phúc,Truyền thông/Báo chí/Quảng cáo,0.0,1.0,0.0,1,1
Vĩnh Phúc,Điện/Điện tử,0.0,2.0,0.0,2,2
Yên Bái,Bán lẻ/Bán sỉ,0.0,7.0,1.0,8,8
Yên Bái,Bảo hiểm,0.0,1.0,0.0,1,1
Yên Bái,Cung cấp nhân lực,0.0,1.0,0.0,1,1
Yên Bái,Dịch vụ Y tế/Chăm sóc sức khỏe,0.0,1.0,0.0,2,2
Yên Bái,Kế toán/Kiểm toán,0.0,1.0,1.0,1,1
Yên Bái,Sản xuất,0.0,1.0,0.0,1,1
Điện Biên,Bán lẻ/Bán sỉ,0.0,3.0,1.0,4,4
Đà Nẵng,Bán lẻ/Bán sỉ,0.0,32.0,6.0,38,37
Đà Nẵng,Bảo hiểm,0.0,2.0,0.0,2,2
Đà Nẵng,Bất Động Sản/Cho thuê,0.0,1.0,2.0,2,2
Đà Nẵng,Chuỗi cung ứng,0.0,2.0,1.0,3,3
Đà Nẵng,Cung cấp nhân lực,0.0,2.0,1.0,2,2
Đà Nẵng,Cơ khí/Máy móc/Thiết bị công nghiệp,0.0,3.0,1.0,4,4
Đà Nẵng,Dịch vụ Y tế/Chăm sóc sức khỏe,0.0,1.0,1.0,2,2
Đà Nẵng,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,0.0,4.0,2.0,5,5
Đà Nẵng,Giáo dục/Đào Tạo,0.0,1.0,0.0,2,2
Đà Nẵng,Hoá chất/Hoá sinh,0.0,2.0,0.0,2,2
Đà Nẵng,Hậu cần/Giao nhận,0.0,1.0,0.0,2,2
Đà Nẵng,Khai khoáng/Dầu khí,0.0,0.0,1.0,1,1
Đà Nẵng,Khác,0.0,3.0,1.0,3,3
Đà Nẵng,Kiến trúc/Thiết kế nội thất,0.0,0.0,3.0,4,4
Đà Nẵng,Kế toán/Kiểm toán,0.0,5.0,2.0,4,5
Đà Nẵng,Kỹ thuật xây dựng/Cơ sở hạ tầng,0.0,2.0,0.0,3,3
Đà Nẵng,Luật/Dịch vụ pháp lý,0.0,1.0,0.0,1,1
Đà Nẵng,Nghệ thuật/Giải trí,0.0,2.0,0.0,2,2
Đà Nẵng,Ngân hàng,0.0,2.0,3.0,4,4
Đà Nẵng,Truyền thông/Báo chí/Quảng cáo,0.0,5.0,6.0,5,6
Đà Nẵng,Tài Chính,0.0,2.0,0.0,3,2
Đà Nẵng,Điện/Điện tử,0.0,2.0,0.0,2,2
Đắk Lắk,Bán lẻ/Bán sỉ,0.0,11.0,4.0,13,14
Đắk Lắk,Bảo hiểm,0.0,3.0,0.0,4,4
Đắk Lắk,Cơ khí/Máy móc/Thiết bị công nghiệp,0.0,1.0,0.0,1,1
Đắk Lắk,Dược phẩm,0.0,1.0,0.0,2,2
Đắk Lắk,Dịch vụ Y tế/Chăm sóc sức khỏe,0.0,1.0,0.0,2,2
Đắk Lắk,Giáo dục/Đào Tạo,0.0,1.0,2.0,3,3
Đắk Lắk,Hoá chất/Hoá sinh,0.0,0.0,1.0,1,1
Đắk Lắk,Hậu cần/Giao nhận,0.0,1.0,0.0,2,2
Đắk Lắk,Khác,0.0,2.0,0.0,2,2
Đắk Lắk,Kế toán/Kiểm toán,0.0,0.0,1.0,1,1
Đắk Lắk,Ngân hàng,0.0,1.0,2.0,2,2
Đắk Lắk,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,0.0,1.0,0.0,1,1
Đắk Lắk,Sản xuất,0.0,0.0,1.0,1,1
Đắk Lắk,Truyền thông/Báo chí/Quảng cáo,0.0,1.0,2.0,2,2
Đắk Lắk,Điện/Điện tử,0.0,1.0,1.0,1,1
Đắk Nông,Bán lẻ/Bán sỉ,0.0,7.0,0.0,8,8
Đắk Nông,Khác,0.0,1.0,0.0,1,1
Đắk Nông,Truyền thông/Báo chí/Quảng cáo,0.0,0.0,1.0,1,1
Đắk Nông,Điện/Điện tử,0.0,0.0,1.0,1,1
Đồng Nai,Bao bì/In ấn/Dán nhãn,0.0,1.0,0.0,1,1
Đồng Nai,Bán lẻ/Bán sỉ,0.0,36.0,8.0,43,41
Đồng Nai,Chuỗi cung ứng,0.0,10.0,1.0,16,11
Đồng Nai,Cung cấp nhân lực,0.0,24.0,7.0,29,29
Đồng Nai,Cơ khí/Máy móc/Thiết bị công nghiệp,0.0,44.0,15.0,53,52
Đồng Nai,Dược phẩm,0.0,1.0,0.0,2,2
Đồng Nai,Dệt may/May mặc/Giày dép,0.0,1.0,0.0,1,1
Đồng Nai,Dịch vụ Y tế/Chăm sóc sức khỏe,0.0,3.0,2.0,5,5
Đồng Nai,Dịch vụ kho bãi,0.0,0.0,1.0,2,2
Đồng Nai,Dịch vụ môi trường/Chất thải,0.0,1.0,0.0,2,2
Đồng Nai,Giáo dục/Đào Tạo,0.0,20.0,8.0,32,24
Đồng Nai,Hoá chất/Hoá sinh,0.0,16.0,1.0,19,19
Đồng Nai,Hậu cần/Giao nhận,0.0,2.0,0.0,3,3
Đồng Nai,Hệ thống CNTT & Thiết bị,0.0,1.0,0.0,2,2
Đồng Nai,Khác,0.0,28.0,9.0,28,31
Đồng Nai,Kiến trúc/Thiết kế nội thất,0.0,1.0,2.0,2,2
Đồng Nai,Kế toán/Kiểm toán,0.0,9.0,6.0,8,9
Đồng Nai,Kỹ thuật xây dựng/Cơ sở hạ tầng,0.0,1.0,3.0,5,5
Đồng Nai,Luật/Dịch vụ pháp lý,0.0,3.0,0.0,4,4
Đồng Nai,Nghiên cứu,0.0,1.0,0.0,1,1
Đồng Nai,Nghệ thuật/Giải trí,0.0,0.0,2.0,2,2
Đồng Nai,Ngân hàng,0.0,6.0,3.0,7,7
Đồng Nai,Nhập khẩu/Xuất khẩu,0.0,2.0,1.0,2,2
Đồng Nai,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,0.0,1.0,1.0,1,1
Đồng Nai,Nội thất/Gỗ,0.0,2.0,1.0,2,2
Đồng Nai,Phần Mềm CNTT/Dịch vụ Phần mềm,0.0,5.0,1.0,8,8
Đồng Nai,Sản xuất,0.0,21.0,3.0,25,25
Đồng Nai,Thú y,0.0,1.0,0.0,1,1
Đồng Nai,Truyền thông/Báo chí/Quảng cáo,0.0,8.0,6.0,7,8
Đồng Nai,Điện/Điện tử,0.0,8.0,5.0,10,9
Đồng Tháp,Bán lẻ/Bán sỉ,0.0,20.0,1.0,24,24
Đồng Tháp,Bảo hiểm,0.0,1.0,0.0,1,1
Đồng Tháp,Cung cấp nhân lực,0.0,1.0,0.0,1,1
Đồng Tháp,Cơ khí/Máy móc/Thiết bị công nghiệp,0.0,1.0,0.0,1,1
Đồng Tháp,Khác,0.0,0.0,1.0,1,1
Đồng Tháp,Kế toán/Kiểm toán,0.0,1.0,1.0,1,1
Đồng Tháp,Ngân hàng,0.0,0.0,1.0,1,1
Đồng Tháp,Sản xuất,0.0,2.0,0.0,2,2
Đồng Tháp,Thú y,0.0,0.0,1.0,1,1
Đồng Tháp,Truyền thông/Báo chí/Quảng cáo,0.0,1.0,0.0,1,1
